time_h,volume_L,TCD_1e6_per_mL,viability_frac,glucose_g_L,lactate_g_L,ammonium_g_L,feed_glucose_gph,feed_other_gph,titer_g_L
0,1.5,0.3,0.95,4.5,0.15,0.03,0.0,0.0,0.000
24,1.5,1.5,0.945,3.0,0.8,0.06,0.1,1.2,0.010
48,1.6,3.8,0.94,1.5,1.8,0.15,0.2,2.5,0.045
72,1.7,6.5,0.935,0.6,2.7,0.28,0.3,3.5,0.110
96,1.8,9.2,0.93,0.3,3.5,0.45,0.4,4.5,0.220
120,1.9,11.5,0.925,0.2,4.0,0.65,0.3,5.5,0.380
144,2.0,12.5,0.92,0.1,4.3,0.90,0.2,5.5,0.600
168,2.1,12.0,0.91,0.1,4.4,1.20,0.1,5.0,0.880
192,2.2,11.2,0.90,0.1,4.3,1.55,0.1,4.5,1.220
216,2.3,10.0,0.89,0.1,4.1,1.95,0.0,4.0,1.620
240,2.4,8.5,0.87,0.1,3.8,2.40,0.0,3.5,2.080
