time_h,volume_L,TCD_1e6_per_mL,viability_frac,glucose_g_L,lactate_g_L,ammonium_g_L,feed_glucose_gph,feed_other_gph,titer_g_L
0,4.0,0.80,0.98,4.5,0.15,0.03,0.0,0.0,0.000
12,4.0,1.80,0.98,3.8,0.60,0.04,0.0,0.0,0.010
24,4.0,3.50,0.97,2.5,1.50,0.06,0.1,2.0,0.030
36,4.1,6.00,0.97,1.5,2.80,0.09,0.2,3.0,0.070
48,4.2,9.00,0.96,1.0,4.20,0.14,0.3,4.0,0.140
60,4.3,12.5,0.95,0.6,5.50,0.20,0.4,5.0,0.250
72,4.4,16.0,0.94,0.4,6.60,0.28,0.5,6.0,0.420
84,4.5,18.5,0.93,0.3,7.50,0.38,0.6,7.0,0.650
96,4.6,20.0,0.91,0.2,8.20,0.50,0.5,8.0,0.950
108,4.7,20.5,0.89,0.2,8.60,0.65,0.4,8.0,1.320
120,4.8,20.8,0.87,0.2,8.80,0.82,0.3,8.0,1.770
132,4.9,20.8,0.84,0.2,8.80,1.00,0.2,7.0,2.300
144,5.0,20.5,0.81,0.2,8.60,1.20,0.2,6.0,2.920
156,5.1,20.0,0.77,0.2,8.30,1.40,0.1,5.0,3.630
168,5.2,19.3,0.73,0.2,7.80,1.62,0.1,4.0,4.430
180,5.3,18.5,0.68,0.2,7.20,1.84,0.1,3.0,5.320
192,5.4,17.5,0.63,0.2,6.50,2.06,0.0,2.0,6.300
