time_h,volume_L,TCD_1e6_per_mL,viability_frac,glucose_g_L,lactate_g_L,ammonium_g_L,feed_glucose_gph,feed_other_gph,titer_g_L
0,1.5,0.20,0.96,3.0,0.05,0.01,0.0,0.0,0.000
24,1.5,1.00,0.96,0.5,0.50,0.04,0.05,0.5,0.005
48,1.6,2.50,0.95,0.3,1.20,0.10,0.08,1.0,0.020
72,1.7,4.80,0.95,0.2,2.00,0.18,0.10,1.5,0.050
96,1.8,7.50,0.94,0.1,2.80,0.30,0.12,2.0,0.100
120,1.9,10.5,0.93,0.1,3.50,0.45,0.10,2.5,0.180
144,2.0,13.0,0.92,0.1,4.00,0.65,0.08,3.0,0.300
168,2.1,11.0,0.90,0.1,4.30,0.90,0.06,3.5,0.470
192,2.2,10.5,0.88,0.1,4.40,1.20,0.05,4.0,0.700
216,2.3,9.5,0.85,0.1,4.30,1.55,0.04,4.0,1.000
240,2.4,8.0,0.82,0.1,4.10,1.95,0.03,3.5,1.380
