time_h,volume_L,TCD_1e6_per_mL,viability_frac,glucose_g_L,lactate_g_L,ammonium_g_L,feed_glucose_gph,feed_other_gph,titer_g_L
0,2.5,0.40,0.97,4.0,0.10,0.02,0.0,0.0,0.000
12,2.5,0.90,0.97,3.2,0.40,0.03,0.0,0.0,0.005
24,2.5,2.00,0.96,2.0,1.00,0.05,0.08,1.0,0.020
36,2.6,3.50,0.96,1.2,1.80,0.08,0.12,1.5,0.050
48,2.7,5.50,0.95,0.8,2.50,0.12,0.15,2.0,0.100
60,2.8,7.80,0.94,0.6,3.20,0.18,0.18,2.5,0.180
72,2.9,10.0,0.93,0.4,3.80,0.25,0.20,3.0,0.300
84,3.0,12.0,0.92,0.3,4.30,0.35,0.22,3.5,0.480
96,3.1,13.5,0.91,0.2,4.70,0.48,0.24,4.0,0.720
108,3.2,14.8,0.90,0.2,4.90,0.62,0.26,4.0,1.020
120,3.3,15.8,0.88,0.2,5.00,0.78,0.20,4.0,1.400
132,3.4,16.5,0.86,0.2,5.00,0.95,0.18,4.0,1.850
144,3.5,17.0,0.84,0.2,4.90,1.12,0.15,3.5,2.380
156,3.6,17.2,0.81,0.2,4.70,1.30,0.12,3.0,3.000
168,3.7,17.0,0.78,0.2,4.40,1.48,0.10,2.5,3.700
180,3.8,16.5,0.74,0.2,4.00,1.65,0.08,2.0,4.480
192,3.9,15.8,0.70,0.2,3.50,1.82,0.06,1.5,5.340
204,4.0,15.0,0.65,0.2,3.00,1.98,0.04,1.0,6.280
216,4.0,14.2,0.60,0.2,2.50,2.12,0.02,0.5,7.300
